kod,sirket,risk
HLL,Ziraat Portföy,1
TZL,Ziraat Portföy,1
ZBJ,Ziraat Portföy,1
IOO,İş Portföy,2
IOP,İş Portföy,2
IUZ,İş Portföy,1
TI1,İş Portföy,2
ALE,Ak Portföy,1
ANL,Ak Portföy,1
BGP,Ak Portföy,1
SAP,Ak Portföy,2
GAL,Garanti BBVA Portföy,1
GNP,Garanti BBVA Portföy,1
GPZ,Garanti BBVA Portföy,1
GTL,Garanti BBVA Portföy,1
PPI,Yapı Kredi Portföy,1
YLB,Yapı Kredi Portföy,1
YVD,Yapı Kredi Portföy,1
DCN,Deniz Portföy,1
DL2,Deniz Portföy,1
DLY,Deniz Portföy,1
ENR,QNB Finans Portföy,1
FI5,QNB Finans Portföy,1
FSK,QNB Finans Portföy,2
OPJ,QNB Finans Portföy,1
YMP,QNB Finans Portföy,2
BRG,TEB Portföy,1
IGL,TEB Portföy,1
PTL,TEB Portföy,2
PYB,TEB Portföy,2
SKL,TEB Portföy,1
TKM,TEB Portföy,1
